item,token,tag,patent,partition,trainingTest
0,Fitting,B-HARDWARE,0,1,training
1,room,I-HARDWARE,0,1,training
2,management,I-HARDWARE,0,1,training
3,and,I-HARDWARE,0,1,training
4,occupancy,I-HARDWARE,0,1,training
5,monitoring,I-HARDWARE,0,1,training
6,system,I-HARDWARE,0,1,training
7,for,O,0,1,training
8,retail,O,0,1,training
9,operations,O,0,1,training
10,having,O,0,1,training
11,fitting,O,0,1,training
12,rooms,O,0,1,training
13,wherein,O,0,1,training
14,the,O,0,1,training
15,system,O,0,1,training
16,if,O,0,1,training
17,capable,O,0,1,training
18,of,O,0,1,training
19,notifying,B-FUNCIONALIDADE,0,1,training
20,staff,I-FUNCIONALIDADE,0,1,training
21,of,O,0,1,training
22,fitting,O,0,1,training
23,room,O,0,1,training
24,occupancy,O,0,1,training
25,",",O,0,1,training
26,the,O,0,1,training
27,need,O,0,1,training
28,for,O,0,1,training
29,cleaning,O,0,1,training
30,",",O,0,1,training
31,and,O,0,1,training
32,/,O,0,1,training
33,or,O,0,1,training
34,the,O,0,1,training
35,need,O,0,1,training
36,for,O,0,1,training
37,customer,O,0,1,training
38,help,O,0,1,training
39,in,O,0,1,training
40,real,O,0,1,training
41,time,O,0,1,training
42,as,O,0,1,training
43,well,O,0,1,training
44,as,O,0,1,training
45,collecting,O,0,1,training
46,and,O,0,1,training
47,tracking,B-FUNCIONALIDADE,0,1,training
48,data,I-FUNCIONALIDADE,0,1,training
49,of,O,0,1,training
50,fitting,O,0,1,training
51,room,O,0,1,training
52,activity,O,0,1,training
53,according,O,0,1,training
54,to,O,0,1,training
55,preset,O,0,1,training
56,business,O,0,1,training
57,rules,O,0,1,training
58,.,O,0,1,training
59,The,O,0,1,training
60,system,O,0,1,training
61,further,O,0,1,training
62,assists,B-FUNCIONALIDADE,0,1,training
63,retail,I-FUNCIONALIDADE,0,1,training
64,operations,I-FUNCIONALIDADE,0,1,training
65,with,O,0,1,training
66,reduction,O,0,1,training
67,of,O,0,1,training
68,theft,O,0,1,training
