item,token,tag,sentence,patent,partition,trainingTest
0,Fitting,O,1,1,1,training
1,room,O,1,1,1,training
2,management,O,1,1,1,training
3,and,O,1,1,1,training
4,occupancy,B-SOFTWARE,1,1,1,training
5,monitoring,I-SOFTWARE,1,1,1,training
6,system,I-SOFTWARE,1,1,1,training
7,for,O,1,1,1,training
8,retail,O,1,1,1,training
9,operations,O,1,1,1,training
10,having,O,1,1,1,training
11,fitting,O,1,1,1,training
12,rooms,O,1,1,1,training
13,wherein,O,1,1,1,training
14,the,O,1,1,1,training
15,system,O,1,1,1,training
16,if,O,1,1,1,training
17,capable,O,1,1,1,training
18,of,O,1,1,1,training
19,notifying,B-FUNCIONALIDADE,1,1,1,training
20,staff,I-FUNCIONALIDADE,1,1,1,training
21,of,O,1,1,1,training
22,fitting,O,1,1,1,training
23,room,O,1,1,1,training
24,occupancy,O,1,1,1,training
25,",",O,1,1,1,training
26,the,O,1,1,1,training
27,need,O,1,1,1,training
28,for,O,1,1,1,training
29,cleaning,O,1,1,1,training
30,",",O,1,1,1,training
31,and,O,1,1,1,training
32,/,O,1,1,1,training
33,or,O,1,1,1,training
34,the,O,1,1,1,training
35,need,O,1,1,1,training
36,for,O,1,1,1,training
37,customer,B-PESSOA,1,1,1,training
38,help,O,1,1,1,training
39,in,O,1,1,1,training
40,real,O,1,1,1,training
41,time,O,1,1,1,training
42,as,O,1,1,1,training
43,well,O,1,1,1,training
44,as,O,1,1,1,training
45,collecting,O,1,1,1,training
46,and,O,1,1,1,training
47,tracking,B-FUNCIONALIDADE,1,1,1,training
48,data,I-FUNCIONALIDADE,1,1,1,training
49,of,O,1,1,1,training
50,fitting,O,1,1,1,training
51,room,O,1,1,1,training
52,activity,O,1,1,1,training
53,according,O,1,1,1,training
54,to,O,1,1,1,training
55,preset,O,1,1,1,training
56,business,O,1,1,1,training
57,rules,O,1,1,1,training
58,.,O,1,1,1,training
59,The,O,2,1,1,training
60,system,O,2,1,1,training
61,further,O,2,1,1,training
62,assists,B-FUNCIONALIDADE,2,1,1,training
63,retail,I-FUNCIONALIDADE,2,1,1,training
64,operations,I-FUNCIONALIDADE,2,1,1,training
65,with,O,2,1,1,training
66,reduction,O,2,1,1,training
67,of,O,2,1,1,training
68,theft,O,2,1,1,training
69,incidents,O,2,1,1,training
70,",",O,2,1,1,training
71,improvement,O,2,1,1,training
72,of,O,2,1,1,training
73,conversion,O,2,1,1,training
74,rates,O,2,1,1,training
75,and,O,2,1,1,training
76,employee,O,2,1,1,training
77,compliance,O,2,1,1,training
78,rates,O,2,1,1,training
79,.,O,2,1,1,training
80,A,O,1,2,1,training
81,display,B-HARDWARE,1,2,1,training
82,device,I-HARDWARE,1,2,1,training
83,is,O,1,2,1,training
84,provided,O,1,2,1,training
85,.,O,1,2,1,training
86,The,O,2,2,1,training
87,display,B-HARDWARE,2,2,1,training
88,device,I-HARDWARE,2,2,1,training
89,includes,O,2,2,1,training
90,a,O,2,2,1,training
91,plurality,O,2,2,1,training
92,of,O,2,2,1,training
93,diffractive,O,2,2,1,training
94,optical,O,2,2,1,training
95,elements,O,2,2,1,training
96,each,O,2,2,1,training
97,configured,O,2,2,1,training
98,to,O,2,2,1,training
99,emit,B-FUNCIONALIDADE,2,2,1,training
100,light,I-FUNCIONALIDADE,2,2,1,training
101,guided,I-FUNCIONALIDADE,2,2,1,training
102,in,O,2,2,1,training
103,a,O,2,2,1,training
104,light,O,2,2,1,training
105,guide,O,2,2,1,training
106,plate,O,2,2,1,training
107,to,O,2,2,1,training
108,a,O,2,2,1,training
109,user,B-PESSOA,2,2,1,training
110,.,O,2,2,1,training
111,Virtual,O,3,2,1,training
112,images,O,3,2,1,training
113,by,O,3,2,1,training
114,the,O,3,2,1,training
115,light,O,3,2,1,training
116,are,O,3,2,1,training
117,observed,O,3,2,1,training
118,by,O,3,2,1,training
119,the,O,3,2,1,training
120,user,B-PESSOA,3,2,1,training
121,at,O,3,2,1,training
122,two,O,3,2,1,training
123,or,O,3,2,1,training
124,more,O,3,2,1,training
125,different,O,3,2,1,training
126,depths,O,3,2,1,training
127,according,O,3,2,1,training
128,to,O,3,2,1,training
129,the,O,3,2,1,training
130,plurality,O,3,2,1,training
131,diffractive,O,3,2,1,training
132,elements,O,3,2,1,training
133,.,O,3,2,1,training
134,Examples,O,1,3,1,training
135,described,O,1,3,1,training
136,herein,O,1,3,1,training
137,include,O,1,3,1,training
138,mobility,B-HARDWARE,1,3,1,training
139,devices,I-HARDWARE,1,3,1,training
140,that,O,1,3,1,training
141,may,O,1,3,1,training
142,include,O,1,3,1,training
143,a,O,1,3,1,training
144,variety,O,1,3,1,training
145,of,O,1,3,1,training
146,enhanced,O,1,3,1,training
147,features,O,1,3,1,training
148,.,O,1,3,1,training
149,For,O,2,3,1,training
150,example,O,2,3,1,training
151,",",O,2,3,1,training
152,mobility,B-HARDWARE,2,3,1,training
153,devices,I-HARDWARE,2,3,1,training
154,are,O,2,3,1,training
155,described,O,2,3,1,training
156,which,O,2,3,1,training
157,may,O,2,3,1,training
158,more,O,2,3,1,training
159,accurately,O,2,3,1,training
160,assess,B-FUNCIONALIDADE,2,3,1,training
161,a,I-FUNCIONALIDADE,2,3,1,training
162,fall,I-FUNCIONALIDADE,2,3,1,training
163,of,I-FUNCIONALIDADE,2,3,1,training
164,a,I-FUNCIONALIDADE,2,3,1,training
165,user,I-FUNCIONALIDADE,2,3,1,training
166,by,O,2,3,1,training
167,determining,O,2,3,1,training
168,if,O,2,3,1,training
169,a,O,2,3,1,training
170,user,B-PESSOA,2,3,1,training
171,is,O,2,3,1,training
172,in,O,2,3,1,training
173,proximity,O,2,3,1,training
174,to,O,2,3,1,training
175,a,O,2,3,1,training
176,portion,O,2,3,1,training
177,of,O,2,3,1,training
178,the,O,2,3,1,training
179,mobility,B-HARDWARE,2,3,1,training
180,device,I-HARDWARE,2,3,1,training
181,after,O,2,3,1,training
182,a,O,2,3,1,training
183,fall,O,2,3,1,training
184,of,O,2,3,1,training
185,the,O,2,3,1,training
186,mobility,B-HARDWARE,2,3,1,training
187,device,I-HARDWARE,2,3,1,training
188,is,O,2,3,1,training
189,detected,O,2,3,1,training
190,.,O,2,3,1,training
191,Examples,O,3,3,1,training
192,of,O,3,3,1,training
193,wall,O,3,3,1,training
194,mounted,O,3,3,1,training
195,chargers,O,3,3,1,training
196,for,O,3,3,1,training
197,mobility,B-HARDWARE,3,3,1,training
198,devices,I-HARDWARE,3,3,1,training
199,are,O,3,3,1,training
200,also,O,3,3,1,training
201,described,O,3,3,1,training
202,.,O,3,3,1,training
203,Moreover,O,4,3,1,training
204,",",O,4,3,1,training
205,examples,O,4,3,1,training
206,of,O,4,3,1,training
207,mechanisms,O,4,3,1,training
208,for,O,4,3,1,training
209,detaching,O,4,3,1,training
210,and,O,4,3,1,training
211,attaching,O,4,3,1,training
212,tips,O,4,3,1,training
213,to,O,4,3,1,training
214,mobility,B-HARDWARE,4,3,1,training
215,devices,I-HARDWARE,4,3,1,training
216,(,O,4,3,1,training
217,e,O,4,3,1,training
218,.,O,4,3,1,training
219,g,O,4,3,1,training
220,.,O,4,3,1,training
221,canes,O,5,3,1,training
222,),O,5,3,1,training
223,are,O,5,3,1,training
224,described,O,5,3,1,training
225,which,O,5,3,1,training
226,may,O,5,3,1,training
227,facilitate,O,5,3,1,training
228,swapping,O,5,3,1,training
229,of,O,5,3,1,training
230,different,O,5,3,1,training
231,tips,O,5,3,1,training
232,for,O,5,3,1,training
233,different,O,5,3,1,training
234,situations,O,5,3,1,training
235,.,O,5,3,1,training
236,A,O,1,4,1,training
237,transportation,B-SOFTWARE,1,4,1,training
238,mobility,I-SOFTWARE,1,4,1,training
239,system,I-SOFTWARE,1,4,1,training
240,includes,O,1,4,1,training
241,a,O,1,4,1,training
242,data,B-HARDWARE,1,4,1,training
243,storage,I-HARDWARE,1,4,1,training
244,configured,O,1,4,1,training
245,to,O,1,4,1,training
246,maintain,B-FUNCIONALIDADE,1,4,1,training
247,vehicle,I-FUNCIONALIDADE,1,4,1,training
248,data,I-FUNCIONALIDADE,1,4,1,training
249,indicating,I-FUNCIONALIDADE,1,4,1,training
250,fuel,I-FUNCIONALIDADE,1,4,1,training
251,consumption,I-FUNCIONALIDADE,1,4,1,training
252,and,O,1,4,1,training
253,count,O,1,4,1,training
254,of,O,1,4,1,training
255,passengers,B-PESSOA,1,4,1,training
256,for,O,1,4,1,training
257,vehicles,O,1,4,1,training
258,of,O,1,4,1,training
259,a,O,1,4,1,training
260,transportation,O,1,4,1,training
261,system,O,1,4,1,training
262,",",O,1,4,1,training
263,and,O,1,4,1,training
264,user,O,1,4,1,training
265,data,O,1,4,1,training
266,describing,O,1,4,1,training
267,movements,O,1,4,1,training
268,of,O,1,4,1,training
269,the,O,1,4,1,training
270,passengers,B-PESSOA,1,4,1,training
271,within,O,1,4,1,training
272,the,O,1,4,1,training
273,transportation,O,1,4,1,training
274,system,O,1,4,1,training
275,.,O,1,4,1,training
276,The,O,2,4,1,training
277,system,O,2,4,1,training
278,also,O,2,4,1,training
279,includes,O,2,4,1,training
280,an,O,2,4,1,training
281,emissions,B-SOFTWARE,2,4,1,training
282,monitoring,I-SOFTWARE,2,4,1,training
283,portal,I-SOFTWARE,2,4,1,training
284,",",O,2,4,1,training
285,programmed,O,2,4,1,training
286,to,O,2,4,1,training
287,provide,O,2,4,1,training
288,",",O,2,4,1,training
289,for,O,2,4,1,training
290,vehicles,O,2,4,1,training
291,of,O,2,4,1,training
292,a,O,2,4,1,training
293,fleet,O,2,4,1,training
294,",",O,2,4,1,training
295,estimates,O,2,4,1,training
296,of,O,2,4,1,training
297,pollutant,O,2,4,1,training
298,emissions,O,2,4,1,training
299,for,O,2,4,1,training
300,the,O,2,4,1,training
301,fleet,O,2,4,1,training
302,and,O,2,4,1,training
303,a,O,2,4,1,training
304,percent,O,2,4,1,training
305,share,O,2,4,1,training
306,of,O,2,4,1,training
307,miles,O,2,4,1,training
308,completed,O,2,4,1,training
309,by,O,2,4,1,training
310,zero,O,2,4,1,training
311,-,O,2,4,1,training
312,emissions,O,2,4,1,training
313,transportation,O,2,4,1,training
314,for,O,2,4,1,training
315,the,O,2,4,1,training
316,fleet,O,2,4,1,training
317,.,O,2,4,1,training
318,A,O,1,5,1,training
319,system,O,1,5,1,training
320,",",O,1,5,1,training
321,method,O,1,5,1,training
322,",",O,1,5,1,training
323,and,O,1,5,1,training
324,computer,B-SOFTWARE,1,5,1,training
325,program,I-SOFTWARE,1,5,1,training
326,product,I-SOFTWARE,1,5,1,training
327,are,O,1,5,1,training
328,provided,O,1,5,1,training
329,for,O,1,5,1,training
330,mitigation,O,1,5,1,training
331,of,O,1,5,1,training
332,user,O,1,5,1,training
333,-,O,1,5,1,training
334,specific,O,1,5,1,training
335,ping,O,1,5,1,training
336,-,O,1,5,1,training
337,pong,O,1,5,1,training
338,handover,O,1,5,1,training
339,.,O,1,5,1,training
340,In,O,2,5,1,training
341,operation,O,2,5,1,training
342,",",O,2,5,1,training
343,user,B-HARDWARE,2,5,1,training
344,equipment,I-HARDWARE,2,5,1,training
